date_time,temperature,humidity,light
2025-10-13 05:51:00,20.98,81.96,0.0
2025-10-13 05:52:00,20.85,82.53,0.0
2025-10-13 05:53:00,20.78,82.93,0.0
2025-10-13 05:54:00,20.77,83.02,0.0
2025-10-13 05:55:00,20.7,83.28,0.0
2025-10-13 05:56:00,20.71,83.27,0.0
2025-10-13 05:57:00,20.67,83.45,0.0
2025-10-13 05:58:00,21.16,82.08,0.0
2025-10-13 05:59:00,21.05,82.48,0.0
2025-10-13 06:00:00,21.16,81.89,0.0
2025-10-13 06:01:00,21.22,81.8,0.0
2025-10-13 06:02:00,21.45,81.18,0.0
2025-10-13 06:03:00,21.56,80.46,0.0
2025-10-13 06:04:00,20.87,82.7,0.0
2025-10-13 06:05:00,20.8,83.17,0.0
2025-10-13 06:06:00,20.58,83.95,0.0
2025-10-13 06:07:00,20.65,83.84,0.0
2025-10-13 06:08:00,20.67,83.7,0.0
2025-10-13 06:09:00,20.84,83.39,0.0
2025-10-13 06:10:00,20.78,83.58,0.0
2025-10-13 06:11:00,20.77,83.47,0.0
2025-10-13 06:12:00,20.7,83.69,0.0
2025-10-13 06:13:00,21.1,82.5,0.0
2025-10-13 06:14:00,20.96,82.33,0.0
2025-10-13 06:15:00,20.68,83.42,0.0
2025-10-13 06:16:00,20.65,83.91,0.0
2025-10-13 06:17:00,20.55,84.39,0.0
2025-10-13 06:18:00,20.44,84.67,0.0
2025-10-13 06:19:00,20.55,84.54,0.0
2025-10-13 06:20:00,20.39,84.81,0.0
2025-10-13 06:21:00,20.54,84.5,0.0
2025-10-13 06:22:00,20.51,,0.8
2025-10-13 06:23:00,20.58,,0.8
2025-10-13 06:24:00,20.39,,0.8
2025-10-13 06:25:00,20.61,,1.6
2025-10-13 06:26:00,20.81,,1.6
2025-10-13 06:27:00,20.99,83.32,2.5
2025-10-13 06:28:00,21.46,,2.5
2025-10-13 06:29:00,21.37,,3.3
2025-10-13 06:30:00,21.56,,4.1
2025-10-13 06:31:00,21.88,,4.1
2025-10-13 06:32:00,21.91,,5.0
2025-10-13 06:33:00,21.64,,6.6
2025-10-13 06:34:00,21.71,,7.4
2025-10-13 06:35:00,21.36,,8.3
2025-10-13 06:36:00,22.04,,10.0
2025-10-13 06:37:00,22.12,,10.8
2025-10-13 06:38:00,21.88,80.03,11.6
2025-10-13 06:39:00,22.02,79.79,12.4
2025-10-13 06:40:00,22.09,79.6,13.3
2025-10-13 06:41:00,21.74,80.29,14.9
2025-10-13 06:42:00,21.63,80.85,16.6
2025-10-13 06:43:00,22.0,79.75,18.3
2025-10-13 06:44:00,22.02,79.57,19.1
2025-10-13 06:45:00,21.81,79.98,21.6
2025-10-13 06:46:00,21.84,80.15,22.5
2025-10-13 06:47:00,21.83,80.55,22.5
2025-10-13 06:48:00,22.04,79.36,24.1
2025-10-13 06:49:00,21.49,81.18,26.6
2025-10-13 06:50:00,21.4,81.56,27.4
2025-10-13 06:51:00,21.32,81.8,27.4
2025-10-13 06:52:00,21.05,82.61,27.4
2025-10-13 06:53:00,21.16,82.61,29.1
2025-10-13 06:54:00,21.09,82.87,32.5
2025-10-13 06:55:00,21.3,82.29,39.1
2025-10-13 06:56:00,21.09,82.89,49.1
2025-10-13 06:57:00,21.19,83.01,61.6
2025-10-13 06:58:00,21.35,82.29,73.3
2025-10-13 06:59:00,21.57,81.73,84.1
2025-10-13 07:00:00,21.66,81.37,90.8
2025-10-13 07:01:00,22.12,80.47,95.0
2025-10-13 07:02:00,21.91,80.44,96.6
2025-10-13 07:03:00,22.36,79.67,98.3
2025-10-13 07:04:00,22.35,79.07,104.1
2025-10-13 07:05:00,22.31,79.04,116.6
2025-10-13 07:06:00,22.52,79.08,130.8
2025-10-13 07:07:00,22.36,79.21,143.3
2025-10-13 07:08:00,22.98,77.79,158.3
2025-10-13 07:09:00,22.93,77.56,173.3
2025-10-13 07:10:00,22.26,79.33,185.8
2025-10-13 07:11:00,22.71,78.41,193.3
2025-10-13 07:12:00,22.42,79.08,198.3
2025-10-13 07:13:00,22.57,79.29,199.9
2025-10-13 07:14:00,23.17,77.39,206.6
2025-10-13 07:15:00,22.77,77.78,222.4
2025-10-13 07:16:00,23.25,77.01,244.9
2025-10-13 07:17:00,23.25,77.1,266.6
2025-10-13 07:18:00,23.06,77.12,282.5
2025-10-13 07:19:00,22.6,78.61,295.8
2025-10-13 07:20:00,22.93,78.24,311.6
2025-10-13 07:21:00,23.1,77.65,330.0
2025-10-13 07:22:00,22.69,78.55,355.8
2025-10-13 07:23:00,23.12,77.74,385.8
2025-10-13 07:24:00,22.67,78.31,417.4
2025-10-13 07:25:00,22.81,78.82,437.4
2025-10-13 07:26:00,23.0,77.76,469.1
2025-10-13 07:27:00,22.83,78.37,490.8
2025-10-13 07:28:00,22.71,78.67,502.4
2025-10-13 07:29:00,22.73,78.5,509.1
2025-10-13 07:30:00,23.17,77.69,545.0
2025-10-13 07:31:00,23.0,77.96,584.1
2025-10-13 07:32:00,22.8,78.12,614.1
2025-10-13 07:33:00,22.88,78.51,641.6
2025-10-13 07:34:00,23.42,77.17,675.0
2025-10-13 07:35:00,23.7,76.33,724.1
2025-10-13 07:36:00,23.34,77.08,780.8
2025-10-13 07:37:00,22.94,78.01,853.3
2025-10-13 07:38:00,22.88,78.48,933.3
2025-10-13 07:39:00,23.04,77.66,1002.4
2025-10-13 07:40:00,23.22,77.33,1062.5
2025-10-13 07:41:00,23.42,77.15,1143.3
2025-10-13 07:42:00,23.25,77.65,1211.6
2025-10-13 07:43:00,23.19,77.67,1265.0
2025-10-13 07:44:00,23.22,77.55,1293.3
2025-10-13 07:45:00,23.29,77.16,1280.8
2025-10-13 07:46:00,23.25,77.92,1212.5
2025-10-13 07:47:00,23.46,77.06,1159.1
2025-10-13 07:48:00,23.99,75.44,1167.5
2025-10-13 07:49:00,23.58,76.87,1193.3
2025-10-13 07:50:00,23.53,77.12,1235.0
2025-10-13 07:51:00,24.01,75.79,1272.5
2025-10-13 07:52:00,23.93,76.06,1320.8
2025-10-13 07:53:00,24.07,75.12,1369.1
2025-10-13 07:54:00,23.76,76.36,1435.8
2025-10-13 07:55:00,23.83,76.43,1475.8
2025-10-13 07:56:00,24.44,74.36,1472.5
2025-10-13 07:57:00,24.35,74.74,1420.0
2025-10-13 07:58:00,24.11,75.68,1383.3
2025-10-13 07:59:00,24.66,74.16,1407.5
2025-10-13 08:00:00,24.22,75.25,1419.1
2025-10-13 08:01:00,24.57,74.26,1453.3
2025-10-13 08:02:00,24.01,75.81,1462.5
2025-10-13 08:03:00,24.24,75.47,1445.0
2025-10-13 08:04:00,24.48,75.01,1448.3
2025-10-13 08:05:00,24.3,75.11,1444.1
2025-10-13 08:06:00,24.21,75.37,1435.8
2025-10-13 08:07:00,24.99,73.58,1437.5
2025-10-13 08:08:00,24.86,73.65,1434.1
2025-10-13 08:09:00,24.2,75.05,1429.1
2025-10-13 08:10:00,25.06,73.6,1402.5
2025-10-13 08:11:00,24.85,73.56,1365.8
2025-10-13 08:12:00,25.16,73.05,1348.3
2025-10-13 08:13:00,24.85,73.29,1390.0
2025-10-13 08:14:00,24.87,73.56,1498.3
2025-10-13 08:15:00,24.64,74.06,1653.3
2025-10-13 08:16:00,25.07,73.39,1799.9
2025-10-13 08:17:00,25.57,71.98,1879.1
2025-10-13 08:18:00,24.85,73.31,1915.8
